ND003,daSilva,Neymar,95,2025-1-1 07:00,2025-1-1 15:00,4
RF007,Federer,Roger,93,2025-1-1 07:00,2025-1-1 15:00,4
RW004,Wilson,Russell,89,2025-1-1 07:00,2025-1-1 15:00,1
AR004,Rogers,Aaron,89,2025-1-1 07:00,2025-1-1 15:00,3
LJ008,James,LeBron,88,2025-1-1 07:00,2025-1-1 15:00,1
LM004,Messi,Lionel,81,2025-1-1 07:00,2025-1-1 15:00,2
CR002,Ronaldo,Cristiano,79,2025-1-1 07:00,2025-1-1 15:00,4
SC008,Curry,Stephen,79,2025-1-1 07:00,2025-1-1 15:00,4
TW003,Woods,Tiger,78,2025-1-1 07:00,2025-1-1 15:00,3
MR100,Ryan,Matt,67,2025-1-1 07:00,2025-1-1 15:00,1
KD011,Durant,Kevin,65,2025-1-1 07:00,2025-1-1 15:00,4
KB006,Bryant,Kobe,61,2025-1-1 07:00,2025-1-1 15:00,3
KC100,Cousins,Kirk,60,2025-1-1 07:00,2025-1-1 15:00,2
MS100,Stafford,Matthew,59,2025-1-1 07:00,2025-1-1 15:00,1
CW100,Wentz,Carson,59,2025-1-1 07:00,2025-1-1 15:00,1
ND013,Djokovic,Novak,55,2025-1-1 07:00,2025-1-1 15:00,2
PM007,Mickelson,Phil,53,2025-1-1 07:00,2025-1-1 15:00,4
CN020,Newton,Cam,53,2025-1-1 07:00,2025-1-1 15:00,2
JS020,Spieth,Jordan,52,2025-1-1 07:00,2025-1-1 15:00,1
DB008,Beckham,David,47,2025-1-1 07:00,2025-1-1 15:00,3
JH009,Harden,James,46,2025-1-1 07:00,2025-1-1 15:00,3
RN014,Nadal,Rafael,44,2025-1-1 07:00,2025-1-1 15:00,1
PM007,Manning,Peyton,42,2025-1-1 07:00,2025-1-1 15:00,3
AR012,Rodriguez,Alex,0,2025-1-1 07:00,2025-1-1 15:00,4
MS020,Schumacher,Michael,0,2025-1-1 07:00,2025-1-1 15:00,3
FM009,Mayweather,Floyd,0,2025-1-1 07:00,2025-1-1 15:00,2
MP024,Pacquiao,Manny,0,2025-1-1 07:00,2025-1-1 15:00,1
DB009,Brees,Drew,0,2025-1-1 07:00,2025-1-1 15:00,4
AR009,Rodgers,Aaron,0,2025-1-1 07:00,2025-1-1 15:00,3
AL006,Luck,Andrew,0,2025-1-1 07:00,2025-1-1 15:00,1
RM017,McIlroy,Rory,0,2025-1-1 07:00,2025-1-1 15:00,1
LH010,Hamilton,Lewis,0,2025-1-1 07:00,2025-1-1 15:00,4
CM024,McGregor,Conor,0,2025-1-1 07:00,2025-1-1 15:00,4
CA015,Alvarez,Canelo,0,2025-1-1 07:00,2025-1-1 15:00,3
